video_id	title	uploader	duration_seconds	url
fTKqtvXjkvo	Top Hits 2025 ~ Summer Playlist 2025 ~ Top Songs 2025 Trending Music 🎶🎧	Revive Music	8982	https://www.youtube.com/watch?v=fTKqtvXjkvo
-CXDKsZY80I	Top 20 Pop Songs 2025 ♫ Bruno Mars, Lady Gaga, Dua Lipa, Adele, Ed Sheeran, The Weeknd #18	Slow Acoustic and Sunshine Music	7399	https://www.youtube.com/watch?v=-CXDKsZY80I
-IBiEAU8H28	Alex Warren - Ordinary  (Akmalov Cover 2025)	Akmalov	515	https://www.youtube.com/watch?v=-IBiEAU8H28
1BSM6SBckh0	Kygo ft. Rita Ora - Carry On (Lyrics)	Sensual Musique	216	https://www.youtube.com/watch?v=1BSM6SBckh0
byxFUKxhT3s	Alex Warren - Ordinary (Lyrics)	7clouds	186	https://www.youtube.com/watch?v=byxFUKxhT3s
VSXT4a2kRHA	Teddy Swims - The Door (Official Music Video)	Teddy Swims	212	https://www.youtube.com/watch?v=VSXT4a2kRHA
yYEJn9ZtPEI	220 KID & LP - Get To Love You (Lyrics)	Sensual Musique	224	https://www.youtube.com/watch?v=yYEJn9ZtPEI
cJ-NDQhlsxM	Lola Young - Messy (Ted Bear Afro House Remix)	AFRODITE	238	https://www.youtube.com/watch?v=cJ-NDQhlsxM
Sn_-xtHbCJM	Yann Muller, SEM & Dela Utca - Every Minute (Lyrics)	Sensual Musique	184	https://www.youtube.com/watch?v=Sn_-xtHbCJM
hkNin71HEMA	AVAION - Keep On Dancing (Lyrics)	Sensual Musique	186	https://www.youtube.com/watch?v=hkNin71HEMA
iX-QaNzd-0Y	Milky Chance - Stolen Dance (Official Video) [HD Version]	Milky Chance Official	314	https://www.youtube.com/watch?v=iX-QaNzd-0Y
4ZHwu0uut3k	Tom Odell - Another Love (Zwette Edit)	TheSoundYouNeed	394	https://www.youtube.com/watch?v=4ZHwu0uut3k
C_4llORIZeo	Mr. Probz – Waves (:DARREN Remix)	Mr. Probz	270	https://www.youtube.com/watch?v=C_4llORIZeo
vhuTAWZghWs	Imanbek - Summertime Sadness | BassBoost | Extended Remix	Extended Music	566	https://www.youtube.com/watch?v=vhuTAWZghWs
NaAEmxChQSk	Big Z - Missing You (Lyrics)	Sensual Musique	190	https://www.youtube.com/watch?v=NaAEmxChQSk
KJbcxOWIzA4	Viva La Panda & José Lucas - Love In California (Lyrics) ft. Bloke & Bird	Sensual Musique	176	https://www.youtube.com/watch?v=KJbcxOWIzA4
fEKZBgOlYKA	Møme - Møment II (Live Session / Los Angeles) ft. Ricky Ducati, Goldwash	Møme Music	549	https://www.youtube.com/watch?v=fEKZBgOlYKA
zb-kdtpS07Y	Faul & Wad, Nico & Vinz, ALTÉGO, Old Jim - How I Feel (Am I Wrong) (Lyrics)	7clouds Afro House	181	https://www.youtube.com/watch?v=zb-kdtpS07Y
orJSJGHjBLI	Ed Sheeran - Bad Habits [Official Video]	Ed Sheeran	241	https://www.youtube.com/watch?v=orJSJGHjBLI
Vt6UhJ7TgX8	Offmind - Control (Lyrics)	Sensual Musique	182	https://www.youtube.com/watch?v=Vt6UhJ7TgX8
DRMJQvoEPy8	Braaten & Tom Bailey - Midnight Secrets (Lyrics)	Sensual Musique	180	https://www.youtube.com/watch?v=DRMJQvoEPy8
VgRV40FTkW0	Lavish Life - Sunrise (Lyrics)	Sensual Musique	171	https://www.youtube.com/watch?v=VgRV40FTkW0
tQjqyNWu40Y	Jared Mueller & Poylow - Birds Of A Feather	Future House Cloud	205	https://www.youtube.com/watch?v=tQjqyNWu40Y
57VMB1IzLKY	CYRIL - Stumblin' In (Official Music Video)	CYRIL and Spinnin' Records	214	https://www.youtube.com/watch?v=57VMB1IzLKY
GHJGyOb860k	VIZE & R3HAB - One Last Time (Lyrics) ft. Enny-Mae	Sensual Musique	156	https://www.youtube.com/watch?v=GHJGyOb860k
JSdx4OjX4s0	Imazee ft Imran - You didn’t stay (Original Mix) 2025	Imazee	525	https://www.youtube.com/watch?v=JSdx4OjX4s0
rbNSELGYfKM	Cutting Crew - Died In Your Arms (Mad Morello & Igi Remix)	MrNiceSounds	325	https://www.youtube.com/watch?v=rbNSELGYfKM
0tMpq6eaGkc	Vanillaz - Freed From Desire (2023 Edit) [Lyrics]	7clouds Dance	195	https://www.youtube.com/watch?v=0tMpq6eaGkc
KYjpLjnU13Y	Yann Hendriksen & Vescu - Back To Black	Future House Cloud	242	https://www.youtube.com/watch?v=KYjpLjnU13Y
t_NfhdPXzE0	luca santiago & marco4sure - Controlla (ft. Ylusive)	Future House Cloud	180	https://www.youtube.com/watch?v=t_NfhdPXzE0
